# generated_at: 2026-07-18 22:56:47 BST
Model Name                                           	  Prompt (tokens)	  Generation (tokens)	  Total Tokens	  Prompt Tps	  Gen TPS	Peak (GB)                                        	Finish Reason  	Generation (s)  	Load (s)  	Total (s)  	Quality Issues                    	compatibility_status  	context_integration_score  	draft_improvement_score  	visual_description_score  	assisted_enrichment_score  	  peak_memory_working_set_pct	prompt_burden_kind  	prompt_burden_source  	owner_confidence  	prompt_burden_reason  	processed_image_width  	processed_image_height  	image_patch_count  	Generated Text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	error_stage  	error_type  	error_package  	error_message
mlx-community/Molmo-7B-D-0924-8bit                   	              745	                   55	           800	      163   	    51.4 	20 GB (17.2% of 108 GB recommended working set)  	stop           	5.67s           	1.27s     	6.94s      	                                  	clean                 	                           	                         	                          	                           	                    17.1855  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two cats are sleeping on a pink blanket on a red couch. One cat is thin with black stripes, while the other is thicker with brown and black stripes. Both cats are curled up with their tails tucked in. Two remote controls are visible on the couch behind them.
mlx-community/InternVL3-14B-8bit                     	            3,341	                   20	         3,361	      653   	    31.3 	19 GB (16.3% of 108 GB recommended working set)  	stop           	5.81s           	1.96s     	7.78s      	                                  	clean                 	                           	                         	                          	                           	                    16.3136  	visual_input        	estimated_nontext     	low               	                      	                       	                        	                   	Two cats are sleeping on a pink blanket on a red couch, with two remote controls nearby.
mlx-community/pixtral-12b-8bit                       	            1,239	                  200	         1,439	     1505   	    39.9 	15 GB (12.6% of 108 GB recommended working set)  	length         	5.85s           	1.65s     	7.51s      	cutoff                            	clean                 	                           	                         	                          	                           	                    12.6332  	normal              	estimated_nontext     	medium            	                      	                       	                        	                   	In the tranquil setting of this image, two feline companions, one adult and one kitten, are enjoying a peaceful slumber on a vibrant red couch. The adult cat, with its coat of brown and black stripes, is curled up on the right side of the couch, embodying the essence of serenity. Its head is gently resting on its paws, a picture of contentment.\n\nOn the left side of the couch, a kitten with a similar brown and black striped coat is sprawled out in a relaxed pose. Its head is resting on the armrest of the couch, mirroring the adult cat's position. The kitten's body is stretched out, embodying the carefree spirit of youth.\n\nAdding a touch of everyday life to this serene scene are two remote controls resting on the armrest of the couch. One is white and the other is blue, their presence suggesting recent human activity. The remote controls, along with the cats, create a harmonious
mlx-community/Apriel-1.5-15b-Thinker-6bit-MLX        	            1,330	                  200	         1,530	     1360   	    37.8 	14 GB (11.9% of 108 GB recommended working set)  	length         	6.29s           	1.71s     	8.02s      	reasoning-leak, cutoff            	clean                 	                           	                         	                          	                           	                    11.9154  	normal              	estimated_nontext     	medium            	                      	                       	                        	                   	Here are my reasoning steps:\nThe user asks: "Describe this image briefly." The image shows two cats sleeping on a pink couch, with a remote control and a DVD case (or something) on the couch. The cats are both tabby, one is curled up, the other is stretched out. The remote is near the left cat. The DVD case is near the right cat. The couch is pink. The cats appear relaxed. The description should be brief. The user wants a brief description. So we can respond with a short paragraph or a few sentences.\n\nWe need to ensure we comply with policy. There's no disallowed content. It's a simple image description. So we can comply.\n\nWe should describe the main elements: two tabby cats sleeping on a pink couch, one curled up, the other stretched out, a remote control and a DVD case (or a book) near them. The couch is pink. The cats have striped fur. The remote is white
mlx-community/paligemma2-3b-ft-docci-448-bf16        	            1,031	                  119	         1,150	     2333   	    19.4 	10 GB (9.04% of 108 GB recommended working set)  	stop           	6.61s           	1.50s     	8.11s      	                                  	clean                 	                           	                         	                          	                           	                     9.03815 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	A top-down view of two cats sleeping on a pink blanket. The cat on the left is a gray and black tabby cat, and it is lying on its side with its head facing the right and its front paws stretched out in front of it. Its tail is sticking out to the left. The cat on the right is lying on its side, and it is brown and black. Its head is facing the left, and its front paws are stretched out in front of it. Its tail is sticking out to the left. There are two white and blue remote controls between the cats.
mlx-community/Molmo-7B-D-0924-bf16                   	              745	                   53	           798	      145   	    30.2 	27 GB (23.4% of 108 GB recommended working set)  	stop           	6.90s           	1.72s     	8.63s      	                                  	clean                 	                           	                         	                          	                           	                    23.4386  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two cats are sleeping on a pink blanket on a red couch. One cat is thin with black stripes, while the other is thicker with brown and black stripes. Both cats are curled up with their tails tucked in. Two remote controls are visible on the couch.
mlx-community/Qwen3.5-35B-A3B-bf16                   	              319	                   35	           354	       40.2 	    64.4 	71 GB (61.7% of 108 GB recommended working set)  	stop           	8.50s           	11.94s    	20.44s     	                                  	clean                 	                           	                         	                          	                           	                    61.7407  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are sprawled out asleep on a bright pink couch, nestled between two remote controls — one white and one gray — creating a cozy, domestic scene.
mlx-community/pixtral-12b-bf16                       	            1,239	                  200	         1,439	     1510   	    20.7 	27 GB (23% of 108 GB recommended working set)    	length         	10.48s          	2.55s     	13.04s     	cutoff                            	clean                 	                           	                         	                          	                           	                    23.025   	normal              	estimated_nontext     	medium            	                      	                       	                        	                   	In the tranquil setting of this image, two feline companions, one a tabby cat and the other a Bengal cat, are enjoying a peaceful slumber on a vibrant red couch. The tabby cat, with its distinctive striped coat, is sprawled out on its side, its head resting comfortably on the armrest of the couch. Its body is relaxed, embodying the essence of serenity.\n\nBeside it, the Bengal cat is curled up in a perfect circle, its head resting on its paws in a picture of contentment. The contrast between the two cats' sleeping positions adds a touch of whimsy to the scene.\n\nAdding to the homely atmosphere, two remote controls are casually placed on the couch. One is near the tabby cat, while the other is closer to the Bengal cat. Their presence suggests recent human activity, adding a layer of lived-in warmth to the scene.\n\nThe image captures a moment of calm and companionship between two cats, set against
mlx-community/gemma-4-31b-bf16                       	              274	                   36	           310	       42.4 	     7.84	63 GB (55% of 108 GB recommended working set)    	stop           	11.07s          	10.31s    	21.40s     	                                  	clean                 	                           	                         	                          	                           	                    54.977   	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Both cats are sleeping on a pink blanket. The difference between these images is that one cat is on the left side of the blanket and the other is on the right side.
mlx-community/ERNIE-4.5-VL-28B-A3B-Thinking-bf16     	              439	                  200	           639	       49   	    58.9 	59 GB (51.5% of 108 GB recommended working set)  	length         	12.37s          	9.75s     	22.13s     	generation_loop(degeneration), ...	clean                 	                           	                         	                          	                           	                    51.5334  	normal              	estimated_nontext     	medium            	                      	                       	                        	                   	Okay, let's break this down. The user wants a brief description of an image, and they've given me a real head-scratcher of a prompt. "Red cat, red sofa, remote control, tabby cat, sleeping, on the red sofa, with a remote control, and a tabby cat, sleeping on the red sofa." Hmm.\n\nFirst, I need to figure out what the user *actually* wants. They've given me a jumbled mess of words, and I need to extract the core meaning. It's like they're trying to describe a picture, but the words are all mixed up. I see "red cat," "red sofa," "remote control," "tabby cat," "sleeping," and "on the red sofa." Okay, I get it. They want a description of a picture with a red cat, a red sofa, a remote control, and a tabby cat, both sleeping on
mlx-community/GLM-4.6V-nvfp4                         	              408	                   91	           499	       42.7 	    28.2 	63 GB (54.6% of 108 GB recommended working set)  	stop           	12.79s          	10.49s    	23.30s     	                                  	clean                 	                           	                         	                          	                           	                    54.594   	normal              	estimated_nontext     	low               	                      	                       	                        	                   	The image shows two tabby cats resting on a bright pink blanket spread over a red couch. The smaller cat (left) lies stretched out with a green collar, while the larger cat (right) curls slightly. Two remote controls—one gray, one white—rest near the cats, adding a cozy, domestic feel to the scene. <|begin_of_box|>Two tabby cats rest on a pink blanket over a red couch, with two remote controls nearby.<|end_of_box|>
meta-llama/Llama-3.2-11B-Vision-Instruct             	               17	                   77	            94	        6.28	     5.05	25 GB (21.6% of 108 GB recommended working set)  	stop           	17.99s          	3.70s     	21.69s     	                                  	clean                 	                           	                         	                          	                           	                    21.6384  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	The image shows two tabby cats lying on a pink blanket, with two remote controls placed on the couch behind them. The cat on the left is a kitten with a fluffy tail and a green collar, while the cat on the right is an adult with a striped pattern. The image appears to be a playful and cozy scene, with the cats seemingly enjoying a relaxing moment together.
mlx-community/Ornith-1.0-35B-bf16                    	              319	                   41	           360	       15.6 	    42.9 	71 GB (61.7% of 108 GB recommended working set)  	stop           	21.38s          	13.16s    	34.56s     	                                  	clean                 	                           	                         	                          	                           	                    61.7376  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are sleeping peacefully on a bright pink couch, each nestled beside a remote control — one white, one with colorful buttons — creating a cozy and slightly humorous scene of feline comfort.
mlx-community/MolmoPoint-8B-fp16                     	              766	                  163	           929	      944   	     5.89	23 GB (20.1% of 108 GB recommended working set)  	stop           	28.64s          	2.24s     	30.90s     	                                  	clean                 	                           	                         	                          	                           	                    20.1097  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	This image captures a cozy scene of two cats lounging on a pink blanket. The cats are positioned side by side, with one on the left and one on the right. Both felines have similar fur patterns, featuring a mix of brown, black, and white stripes. They appear to be in a relaxed state, with their eyes closed and bodies stretched out comfortably.\n\nThe cat on the left has its head resting on a white remote control, while the cat on the right is nestled next to another white remote. The pink blanket they're lying on is slightly wrinkled, adding to the casual and homey atmosphere of the scene.\n\nThe background is a solid pink color, which complements the blanket and creates a warm, inviting setting. This image beautifully captures a moment of feline tranquility and comfort.
mlx-community/paligemma2-10b-ft-docci-448-bf16       	            1,031	                  159	         1,190	      865   	     4.91	26 GB (22.4% of 108 GB recommended working set)  	stop           	33.62s          	2.50s     	36.13s     	                                  	clean                 	                           	                         	                          	                           	                    22.3801  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	A top-down view of two cats laying on a pink blanket. The cat on the left is a gray tabby cat with black stripes and a black tail. It is laying on its side with its head on the pink blanket and its body facing the left side of the image. Its front legs are stretched out in front of it, and its back legs are curled up. The cat on the right is a brown tabby cat with black stripes. It is laying on its side with its head on the pink blanket and its body facing the right side of the image. Its front legs are stretched out in front of it, and its back legs are curled up. There is a gray remote control on the left side of the image and a gray remote control on the right side of the image.
mlx-community/Kimi-VL-A3B-Thinking-2506-bf16         	              399	                  200	           599	      434   	     4.34	39 GB (34% of 108 GB recommended working set)    	length         	47.71s          	4.16s     	51.89s     	thinking-trace, cutoff            	clean                 	                           	                         	                          	                           	                    33.9712  	normal              	estimated_nontext     	medium            	                      	                       	                        	                   	◁think▷So, let's describe the image. First, there are two tabby cats on a pink fabric surface. The cat on the left is lying on its side, facing the other cat, with a remote control near its head. The cat on the right is lying on its back, also with a remote control near it. Both cats have striped fur with a mix of brown, black, and white. The image has a high-contrast, almost posterized or filtered look, making colors very vivid. The background is a pinkish-red fabric, maybe a couch or bed. The remotes are light blue with buttons, typical of TV remotes. The overall style is stylized with high saturation and contrast.◁/think▷The image shows two tabby cats resting on a pink fabric surface. The cat on the left lies on its side, facing the other cat, with a light - colored remote control near its head. The cat on the right is positioned
