# generated_at: 2026-07-18 22:56:47 BST
Model Name                                           	  Prompt (tokens)	  Generation (tokens)	  Total Tokens	  Prompt Tps	  Gen TPS	Peak (GB)                                        	Finish Reason  	Generation (s)  	Load (s)  	Total (s)  	Quality Issues                    	compatibility_status  	context_integration_score  	draft_improvement_score  	visual_description_score  	assisted_enrichment_score  	  peak_memory_working_set_pct	prompt_burden_kind  	prompt_burden_source  	owner_confidence  	prompt_burden_reason  	processed_image_width  	processed_image_height  	image_patch_count  	Generated Text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	error_stage  	error_type  	error_package  	error_message
mlx-community/Qwen3-VL-2B-Instruct-bf16              	              315	                   89	           404	     3789   	   131   	5.2 GB (4.55% of 108 GB recommended working set) 	stop           	0.80s           	0.72s     	1.52s      	                                  	clean                 	                           	                         	                          	                           	                     4.54582 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	This is a close-up photograph of two cats sleeping on a bright pink couch. The cat on the left is a tabby with a black and grey pattern, lying on its back with its eyes closed. The cat on the right is a calico with a brown and black striped pattern, also lying on its back. Both cats are resting peacefully. There are two remote controls on the couch, one white and one with a blue button.
mlx-community/Ministral-3-3B-Instruct-2512-4bit      	              973	                   97	         1,070	     4071   	   183   	4.5 GB (3.91% of 108 GB recommended working set) 	stop           	0.80s           	0.90s     	1.71s      	                                  	clean                 	                           	                         	                          	                           	                     3.91194 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	This image depicts two cats lying on a soft, pink cushion or blanket.\n\n- The cat on the left appears to be a kitten, with a smaller size, striped tabby pattern, and seems relaxed.\n- The cat on the right is an adult tabby cat, also striped, and is lying on its side with its head slightly raised, looking calm and content.\nBoth are positioned near what looks like a remote control, suggesting a cozy, indoor setting.
Qwen/Qwen3-VL-2B-Instruct                            	              315	                   89	           404	     3432   	   127   	5.1 GB (4.42% of 108 GB recommended working set) 	stop           	0.83s           	0.76s     	1.61s      	                                  	clean                 	                           	                         	                          	                           	                     4.41933 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	This is a close-up photograph of two cats sleeping on a bright pink couch. The cat on the left is a tabby with a black and grey pattern, lying on its back with its eyes closed. The cat on the right is a calico with a brown and black striped pattern, also lying on its back. Both cats are resting peacefully. There are two remote controls on the couch, one white and one with a blue button.
mlx-community/GLM-4.6V-Flash-mxfp4                   	              408	                   42	           450	     1214   	    80.8 	7.7 GB (6.65% of 108 GB recommended working set) 	stop           	0.87s           	1.64s     	2.52s      	                                  	clean                 	                           	                         	                          	                           	                     6.64733 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	This image shows two tabby cats resting on a bright pink couch. One cat lies on its side, while the other is curled with its head down. Two remote controls are also visible on the couch.
mlx-community/Qwen3.5-35B-A3B-4bit                   	              319	                   51	           370	      833   	   106   	21 GB (18.6% of 108 GB recommended working set)  	stop           	0.88s           	2.65s     	3.53s      	                                  	clean                 	                           	                         	                          	                           	                    18.5839  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are sprawled out asleep on a bright pink couch, nestled between two remote controls. The cat on the left is curled with its tail tucked, while the one on the right lies stretched out, both appearing deeply relaxed and comfortable.
mlx-community/Qwen3.5-9B-MLX-4bit                    	              319	                   75	           394	     1155   	    95.2 	7.0 GB (6.08% of 108 GB recommended working set) 	stop           	1.08s           	1.41s     	2.50s      	                                  	clean                 	                           	                         	                          	                           	                     6.07848 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	This image shows two tabby cats sleeping on a bright pink couch. The cat on the left is a smaller kitten, lying on its side with its head resting near a white remote control. The cat on the right is larger and also sleeping, positioned next to another remote control. Both cats appear relaxed and comfortable, curled up on the soft pink fabric of the couch.
mlx-community/Qwen3.5-35B-A3B-6bit                   	              319	                   61	           380	      657   	    98.7 	30 GB (26.1% of 108 GB recommended working set)  	stop           	1.11s           	3.25s     	4.37s      	                                  	clean                 	                           	                         	                          	                           	                    26.0897  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are sprawled out asleep on a bright pink couch, nestled between two remote controls — one white and one gray. The cat on the left is curled with its tail tucked, while the one on the right lies stretched out, both appearing deeply relaxed in a cozy, domestic scene.
mlx-community/paligemma2-3b-pt-896-4bit              	            4,103	                    3	         4,106	     3622   	    76.3 	4.6 GB (3.96% of 108 GB recommended working set) 	stop           	1.20s           	1.19s     	2.39s      	⚠️harness(long_context), ...      	integration-warning   	                           	                         	                          	                           	                     3.95816 	visual_input        	estimated_nontext     	high              	                      	                       	                        	                   	Cat.
mlx-community/diffusiongemma-26B-A4B-it-mxfp8        	              282	                   23	           305	      966   	    35.1 	28 GB (24.4% of 108 GB recommended working set)  	stop           	1.21s           	3.46s     	4.68s      	formatting                        	clean                 	                           	                         	                          	                           	                    24.3685  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	<|channel>thought\n<channel|>Two high-angle shot tabby cats sleeping on a pink blanket next to two remote controls.
mlx-community/diffusiongemma-26B-A4B-it-8bit         	              282	                   25	           307	      953   	    32.2 	29 GB (25% of 108 GB recommended working set)    	stop           	1.27s           	3.36s     	4.67s      	formatting                        	clean                 	                           	                         	                          	                           	                    25.0292  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	<|channel>thought\n<channel|>A high-angle shot shows two tabby cats sleeping on a pink blanket next to two remote controls.
mlx-community/X-Reasoner-7B-8bit                     	              417	                   65	           482	     1615   	    59.3 	10 GB (8.85% of 108 GB recommended working set)  	stop           	1.42s           	1.15s     	2.58s      	                                  	clean                 	                           	                         	                          	                           	                     8.84702 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	The image shows two tabby cats lying on a pink couch. Both cats are stretched out, appearing relaxed. Between them are two remote controls. The couch has a vibrant pink cover, and the cats' fur has a mix of brown, black, and white stripes. The scene conveys a cozy and calm atmosphere.
mlx-community/Qwen3-VL-2B-Thinking-bf16              	              317	                  188	           505	     3848   	   130   	5.3 GB (4.56% of 108 GB recommended working set) 	stop           	1.57s           	0.69s     	2.27s      	⚠️harness(stop_token), ...        	integration-warning   	                           	                         	                          	                           	                     4.55598 	normal              	estimated_nontext     	high              	                      	                       	                        	                   	So, let's see. The image shows two cats lying on a pink couch. The couch is a bright pink color, and there are two remote controls next to the cats. One cat is on the left, with a striped pattern, and the other is on the right, also striped but maybe a bit different. Both cats are relaxed, lying down, maybe sleeping. The remotes are white with some buttons, and one has a blue button. The background is the pink couch, so the main elements are the two cats, the remotes, and the pink fabric. I need to describe this briefly.\n</think>\n\nTwo tabby cats are lying on a bright pink couch, relaxed and asleep. A white remote control with a blue button sits between them, and another remote control is positioned near the left cat. The scene is cozy, with the cats' striped fur and the vibrant pink fabric of the couch forming the backdrop.
mlx-community/gemma-4-31b-it-4bit                    	              286	                   25	           311	      390   	    28.7 	19 GB (16.8% of 108 GB recommended working set)  	stop           	1.62s           	2.58s     	4.21s      	                                  	clean                 	                           	                         	                          	                           	                    16.7515  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are sleeping on a bright pink blanket on a red couch, with two remote controls lying next to them.
mlx-community/Ministral-3-14B-Instruct-2512-nvfp4    	              974	                   54	         1,028	     1239   	    63   	10 GB (8.83% of 108 GB recommended working set)  	stop           	1.66s           	1.47s     	3.13s      	                                  	clean                 	                           	                         	                          	                           	                     8.83107 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	This image shows two tabby cats lounging on a pink cushion. Both cats appear relaxed, lying on their sides and stretching out their paws. One cat faces left, while the other faces right, and there's a remote control near each of them.
mlx-community/GLM-4.6V-Flash-6bit                    	              408	                   58	           466	     1094   	    43.3 	10 GB (8.94% of 108 GB recommended working set)  	stop           	1.73s           	1.73s     	3.48s      	                                  	clean                 	                           	                         	                          	                           	                     8.93689 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	The image shows two tabby cats resting on a bright pink couch. One cat lies on its side, eyes closed, with a remote control nearby. The other cat, larger and more robust, is curled slightly, also appearing relaxed. The scene conveys a cozy, peaceful atmosphere.
mlx-community/Ministral-3-14B-Instruct-2512-mxfp4    	              974	                   60	         1,034	     1207   	    58   	9.8 GB (8.46% of 108 GB recommended working set) 	stop           	1.86s           	1.33s     	3.20s      	                                  	clean                 	                           	                         	                          	                           	                     8.4643  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	This image shows two cats lying on their backs on a pink blanket or cushion. Both cats appear relaxed and are positioned close to each other, with their paws in the air. There are two remote controls placed near them, suggesting a cozy indoor setting, possibly on a couch or bed.
mlx-community/SmolVLM2-2.2B-Instruct-mlx             	               97	                  200	           297	      349   	   122   	5.5 GB (4.75% of 108 GB recommended working set) 	length         	2.00s           	0.62s     	2.62s      	token-cap                         	clean                 	                           	                         	                          	                           	                     4.74679 	normal              	estimated_nontext     	medium            	                      	                       	                        	                   	In the image, a cat is comfortably nestled on a vibrant red couch. The feline, with its fur a mix of black and white, is facing the camera, its eyes half-closed in what appears to be a state of relaxation. The cat's body is stretched out, with its front paws neatly tucked under its body and its hind legs stretched out behind it. \n\nThe couch on which the cat is resting is a striking shade of red, providing a vivid contrast to the cat's fur. The couch is positioned against a wall, which is painted in a soothing shade of blue. \n\nOn the left side of the couch, there's a white remote control, its buttons and slots clearly visible. It's as if the remote control has been left behind, perhaps forgotten in the hustle and bustle of daily life. \n\nThe image captures a moment of tranquility, with the cat seemingly undisturbed by the presence of the remote control. It's a snapshot of everyday life,
mlx-community/Idefics3-8B-Llama3-bf16                	            2,327	                   23	         2,350	     1775   	    32.5 	19 GB (16.2% of 108 GB recommended working set)  	stop           	2.07s           	1.94s     	4.02s      	formatting                        	clean                 	                           	                         	                          	                           	                    16.207   	normal              	estimated_nontext     	low               	                      	                       	                        	                   	In this image we can see two cats on the sofa. There are two remotes on the sofa.<end_of_utterance>
mlx-community/gemma-3n-E2B-4bit                      	              266	                  200	           466	     1012   	   110   	6.0 GB (5.17% of 108 GB recommended working set) 	length         	2.09s           	1.49s     	3.59s      	repetitive(phrase: "have th...    	clean                 	                           	                         	                          	                           	                     5.17292 	normal              	estimated_nontext     	medium            	                      	                       	                        	                   	\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.\n\n have this image.
mlx-community/Qwen3.5-27B-4bit                       	              319	                   64	           383	      514   	    33.4 	19 GB (16.5% of 108 GB recommended working set)  	stop           	2.55s           	2.12s     	4.69s      	                                  	clean                 	                           	                         	                          	                           	                    16.4788  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are lounging on a bright pink couch, each with a remote control nearby. The cat on the left is stretched out on its back, paws in the air, while the one on the right lies curled up, facing away. Both appear relaxed and comfortable in their cozy, colorful setting.
mlx-community/Llama-3.2-11B-Vision-Instruct-8bit     	               16	                   25	            41	       10.4 	    19.8 	15 GB (13% of 108 GB recommended working set)    	stop           	2.83s           	1.49s     	4.32s      	                                  	clean                 	                           	                         	                          	                           	                    13.0022  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	The image shows two tabby cats lying on a pink blanket, with two remote controls placed on the couch behind them.
mlx-community/Qwen3.5-27B-mxfp8                      	              319	                   41	           360	      429   	    19.4 	30 GB (25.7% of 108 GB recommended working set)  	stop           	2.87s           	3.25s     	6.15s      	                                  	clean                 	                           	                         	                          	                           	                    25.7493  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are sleeping peacefully on a bright pink couch. One cat is stretched out on its side, while the other is curled up nearby. Two remote controls lie on the couch between them.
